Isolate_w_Rep,DPI_3,DPI_4,DPI_5,Fruit_Number,Experiment,Isolate,Location,Region
P336-1,4.91,11.04,20.43,1,Exp1,P336,CA-South,CA
P336-10,2.84,6.61,13.53,10,Exp2,P336,CA-South,CA
P336-11,2.69,8.04,14.52,11,Exp2,P336,CA-South,CA
P336-12,2.41,6.16,13.2,12,Exp2,P336,CA-South,CA
P336-2,3.3,8.81,18.1,2,Exp1,P336,CA-South,CA
P336-3,2.84,8.04,17.72,3,Exp1,P336,CA-South,CA
P336-4,3.8,10.46,20.83,4,Exp1,P336,CA-South,CA
P336-5,3.46,8.55,18.1,5,Exp1,P336,CA-South,CA
P336-6,3.46,8.81,18.1,6,Exp1,P336,CA-South,CA
P336-7,4.15,11.04,16.26,7,Exp2,P336,CA-South,CA
P336-8,2.54,6.83,12.88,8,Exp2,P336,CA-South,CA
P336-9,4.34,8.55,16.26,9,Exp2,P336,CA-South,CA
P344-1,3.3,7.07,12.57,1,Exp1,P344,CA-North,CA
P344-10,3.63,8.3,15.9,10,Exp2,P344,CA-North,CA
P344-11,3.14,7.79,14.19,11,Exp2,P344,CA-North,CA
P344-12,2.99,6.83,14.19,12,Exp2,P344,CA-North,CA
P344-2,2.69,6.38,13.2,2,Exp1,P344,CA-North,CA
P344-3,2.41,7.31,15.55,3,Exp1,P344,CA-North,CA
P344-4,2.41,6.38,12.88,4,Exp1,P344,CA-North,CA
P344-5,3.14,8.04,15.55,5,Exp1,P344,CA-North,CA
P344-6,1.33,3.63,8.04,6,Exp1,P344,CA-North,CA
P344-7,3.14,8.55,15.9,7,Exp2,P344,CA-North,CA
P344-8,3.8,7.55,14.52,8,Exp2,P344,CA-North,CA
P344-9,5.52,12.25,21.24,9,Exp2,P344,CA-North,CA
P444-1,1.77,7.07,16.98,1,Exp1,P444,CA-North,CA
P444-10,0.07,6.16,13.53,10,Exp2,P444,CA-North,CA
P444-11,0.2,4.15,10.18,11,Exp2,P444,CA-North,CA
P444-12,0.03,2.27,7.55,12,Exp2,P444,CA-North,CA
P444-2,3.3,12.88,26.88,2,Exp1,P444,CA-North,CA
P444-3,4.52,14.86,30.19,3,Exp1,P444,CA-North,CA
P444-4,3.98,10.75,22.48,4,Exp1,P444,CA-North,CA
P444-5,4.71,13.85,26.88,5,Exp1,P444,CA-North,CA
P444-6,4.71,13.2,28.75,6,Exp1,P444,CA-North,CA
P444-7,0.95,6.61,13.53,7,Exp2,P444,CA-North,CA
P444-8,0.03,3.46,8.04,8,Exp2,P444,CA-North,CA
P444-9,2.54,7.55,14.52,9,Exp2,P444,CA-North,CA
P467-1,1.33,4.15,10.18,1,Exp1,P467,CA-South,CA
P467-10,2.27,7.55,16.26,10,Exp2,P467,CA-South,CA
P467-11,2.14,9.35,19.24,11,Exp2,P467,CA-South,CA
P467-12,2.01,6.38,14.19,12,Exp2,P467,CA-South,CA
P467-2,0.13,2.27,5.52,2,Exp1,P467,CA-South,CA
P467-3,0.38,3.46,8.3,3,Exp1,P467,CA-South,CA
P467-4,1.54,5.31,12.25,4,Exp1,P467,CA-South,CA
P467-5,2.41,7.31,15.55,5,Exp1,P467,CA-South,CA
P467-6,2.27,8.04,16.62,6,Exp1,P467,CA-South,CA
P467-7,3.98,9.62,20.03,7,Exp2,P467,CA-South,CA
P467-8,0.5,4.52,11.34,8,Exp2,P467,CA-South,CA
P467-9,1.77,5.52,11.64,9,Exp2,P467,CA-South,CA
P482-1,0.5,2.69,7.79,1,Exp1,P482,CA-South,CA
P482-10,0.03,0.03,0.03,10,Exp2,P482,CA-South,CA
P482-11,0.03,5.11,12.25,11,Exp2,P482,CA-South,CA
P482-12,0.03,2.84,8.3,12,Exp2,P482,CA-South,CA
