Isolate,County,State,Growing_Region,Country,Percent_Growth_Affected_by_28
P163,Riverside,CA,South,USA,0.649350649
P207,San Diego,CA,South,USA,-2.599009901
P216,Riverside,CA,South,USA,-20.64935065
P245,Ventura,CA,North,USA,-16.52421652
P322,Ventura,CA,North,USA,-24.8447205
P336,San Diego,CA,South,USA,-1.428571429
Pc338,San Diego,CA,South,USA,1.934235977
P340,San Diego,CA,South,USA,1.313320826
P344,Santa Barbara,CA,North,USA,14.05228758
Pc345,Ventura,CA,North,USA,-22.33146067
P349,Santa Barbara,CA,North,USA,6.126914661
P352,San Diego,CA,South,USA,-3.715670436
P356,Riverside,CA,South,USA,-7.794361526
P360,Riverside,CA,South,USA,-24.54308094
P367,Ventura,CA,North,USA,-11.34751773
P381,San Diego,CA,South,USA,2.408111534
P398,Santa Barbara,CA,North,USA,-5.889145497
P407,Santa Barbara,CA,North,USA,-27.69607843
P420,Santa Barbara,CA,North,USA,-24.87804878
P425,Ventura,CA,North,USA,12.84634761
P426,Ventura,CA,North,USA,-15.51480959
P429,Ventura,CA,North,USA,-17.66304348
P438,Santa Barbara,CA,North,USA,-19.41896024
P439,Santa Barbara,CA,North,USA,-15.09433962
P442,Ventura,CA,North,USA,-25.48764629
P444,Ventura,CA,North,USA,-17.00133869
P446,Ventura,CA,North,USA,-22.22222222
P448,Ventura,CA,North,USA,-16.59751037
P454,Ventura,CA,North,USA,-17.92318634
P461,San Diego,CA,South,USA,13.6
P467,San Diego,CA,South,USA,-26.76837725
P473,San Diego,CA,South,USA,-13.77777778
P482,San Diego,CA,South,USA,-21.44638404
P483,San Diego,CA,South,USA,7.701421801
P485,San Diego,CA,South,USA,-40.75630252
P508,San Diego,CA,South,USA,-4.135338346
P514,San Diego,CA,South,USA,9.927797834
P520,San Diego,CA,South,USA,1.241134752
P532,Riverside,CA,South,USA,-7.142857143
P553,Riverside,CA,South,USA,-5.496453901
Pc2109,San Diego,CA,South,USA,-1.709401709
Pc2110,Ventura,CA,North,USA,-18.96551724
Pc2113,Santa Barbara,CA,North,USA,-31.31935882
Pc2114,Ventura,CA,North,USA,-15.56662516
P2115,Ventura,CA,North,USA,-7.633587786
Pc2117,San Diego,CA,South,USA,-1.279317697
Pc2120,Riverside,CA,South,USA,-3.535353535
P14009,Ventura,CA,North,USA,-29.62025316
ARR2_2,Ario de Rosales,MC,NA,MEXICO,4.693140794
B4,Santa Barbara,CA,North,USA,-27.95698925
B9,Santa Barbara,CA,North,USA,-23.16546763
CBS14422,Unknown,Unknown,NA,Indonesia,-12.77955272
L14,Ventura,CA,North,USA,-26.43979058
L2_1,Ventura,CA,North,USA,-17.57105943
M253,San Diego,CA,South,USA,-7.287933094
M293,Ventura,CA,North,USA,-9.467455621
M393,Unknown,Unknown,NA,Unknown,-9.76744186
M394,Unknown,Unknown,NA,Unknown,-20.32742156
M395,San Diego,CA,South,USA,-18.57142857
M397,San Diego,CA,South,USA,2.232142857
M398,San Diego,CA,South,USA,-5.465587045
M399,San Diego,CA,South,USA,-12.84722222
M400,San Diego,CA,South,USA,-25.68093385
M401,San Diego,CA,South,USA,-9.397163121
M402,Ventura,CA,North,USA,20.9375
M403,Riverside,CA,South,USA,-23.5924933
M404,Riverside,CA,South,USA,-23.31536388
M405,San Diego,CA,South,USA,-7.831325301
ME1_1,San Diego,CA,South,USA,-24.57067371
ME9_1,San Diego,CA,South,USA,-23.95209581
MW4_1,San Diego,CA,South,USA,-20
Nik4_2,San Diego,CA,South,USA,-21.89586115
OH3,Riverside,CA,South,USA,-31.23393316
OH3a,Riverside,CA,South,USA,9.511568123
OH4,Riverside,CA,South,USA,4.539559014
OH5,Riverside,CA,South,USA,-5.029585799
P3658,Unknown,Unknown,NA,Papua New Guinea,3.874813711
Pc5241,San Diego,CA,South,USA,-4.223227753
P6339,Unknown,Unknown,NA,Papua New Guinea,-23.86223862
P6377,Unknown,Unknown,NA,Taiwan,-20.12012012
P6379,Unknown,Unknown,NA,Taiwan,12.09677419
PRS1_1,Perib‡n,MC,NA,MEXICO,-29.59427208
PRS4_18,Perib‡n,MC,NA,MEXICO,-5.78125
R_1,Orange,CA,North,USA,-10.5721393
S2_1,Orange,CA,North,USA,-12.83185841
SER5_6,Salvador Escalante,MC,NA,MEXICO,-1.745200698
SJNR6_22,San Juan Nuevo ,MC,NA,MEXICO,0
St5b,San Diego,CA,South,USA,-3.112840467
St6a,San Diego,CA,South,USA,-3.368421053
TANR3_5,Tanc’taro,MC,NA,MEXICO,-22.90640394
TANS5_22,Tanc’taro,MC,NA,MEXICO,4.562043796
TGR3_5,Tinguind’n,MC,NA,MEXICO,-0.159489633
UPNR1_1,Uruapan,MC,NA,MEXICO,6.457925636
UPNS4_1,Uruapan,MC,NA,MEXICO,-2.094240838
Van3,Ventura,CA,North,USA,-25.31120332
W3-1,Orange,CA,North,USA,1.808318264
ZCA5_3,Ziracuaretiro,MC,NA,MEXICO,-2.639751553
ZITR2_5,Zitacuaro,MC,NA,MEXICO,1.294498382
