ID,name,location,Country,location_Simple,Year,County
ARR2_2,ARR2_2,Ario de Rosales,MX,MX,2019,"Michoacan, MX"
ARR3_4,ARR3_4,Ario de Rosales,MX,MX,2019,"Michoacan, MX"
ARR4_1A,ARR4_1A,Ario de Rosales,MX,MX,2019,"Michoacan, MX"
ARR4_1B,ARR4_1B,Ario de Rosales,MX,MX,2019,"Michoacan, MX"
ARR5_4,ARR5_4,Ario de Rosales,MX,MX,2019,"Michoacan, MX"
B4,B4,Santa Barbara,CA,CA-north,2010,Santa Barbara
B9,B9,Santa Barbara,CA,CA-north,2010,Santa Barbara
CAV11,CAV11,Uruapan V,MX,MX,2010,"Michoacan, MX"
CAV12,CAV12,Uruapan V,MX,MX,2010,"Michoacan, MX"
CAV15,CAV15,Uruapan V,MX,MX,2010,"Michoacan, MX"
CAV7,CAV7,Uruapan V,MX,MX,2010,"Michoacan, MX"
CBS14422,CBS14422,West Sumatra,Indonesia,Asia/Oceania,1922,Indonesia (West Sumatra)
L14,L14,Ventura,CA,CA-north,2010,Ventura
L2_1,L2_1,Ventura ,CA,CA-north,2010,Ventura 
M253,M253,San Diego,CA,CA-south,1994,San Diego
M293,M293,Ventura ,CA,CA-north,1996,Ventura 
M393,M393,California,CA,CA-south,NO INFO,NO INFO
M394,M394,California,CA,CA-south,NO INFO,NO INFO
M395,M395,San Diego,CA,CA-south,2008,San Diego
M397,M397,San Diego,CA,CA-south,2008,San Diego
M398,M398,San Diego,CA,CA-south,2008,San Diego
M399,M399,San Diego,CA,CA-south,2008,San Diego
M400,M400,San Diego,CA,CA-south,2008,San Diego
M401,M401,San Diego,CA,CA-south,2008,San Diego
M402,M402,Ventura ,CA,CA-north,2008,Ventura 
M403,M403,Riverside,CA,CA-south,2009,Riverside
M404,M404,Riverside,CA,CA-south,2009,Riverside
M405,M405,Riverside,CA,CA-south,2009,Riverside
ME1_1,ME1_1,San Diego,CA,CA-south,2008,San Diego
