ID,Cluster1,Cluster2,Cluster3,Cluster4
ARR2_2,1,0,0,0
ARR3_4,1,0,0,0
ARR4_1A,1,0,0,0
ARR4_1B,1,0,0,0
ARR5_4,1,0,0,0
B4,0,1,0,0
B9,0,1,0,0
CAV11,1,0,0,0
CAV12,1,0,0,0
CAV15,1,0,0,0
CAV7,1,0,0,0
CBS14422,0,1,0,0
L14,0,1,0,0
L2_1,0,1,0,0
M253,0,1,0,0
M293,0,1,0,0
M393,1,0,0,0
M394,0,1,0,0
M395,0,1,0,0
M397,1,0,0,0
M398,1,0,0,0
M399,1,0,0,0
M400,0,1,0,0
M401,1,0,0,0
M402,0,1,0,0
M403,0,1,0,0
M404,0,1,0,0
M405,0,1,0,0
ME1_1,0,1,0,0
ME9_1,0,1,0,0
MW4_1,0,1,0,0
Nik4_2,0,1,0,0
OH3,0,1,0,0
OH3a,0,1,0,0
OH4,0,1,0,0
OH5,0,1,0,0
P14009,0,1,0,0
P163,1,0,0,0
P207,0,1,0,0
P2115,0,1,0,0
P216,0,1,0,0
P245,0,1,0,0
P322,0,1,0,0
P336,1,0,0,0
P340,1,0,0,0
P344,1,0,0,0
P349,0,0.6,0.4,0
P352,1,0,0,0
P356,1,0,0,0
P360,0,1,0,0
P3658,0,0,1,0
P367,0,1,0,0
P381,0,1,0,0
P398,0,1,0,0
P407,0,1,0,0
P420,0,1,0,0
P425,0,1,0,0
P426,0,1,0,0
P429,0,1,0,0
P438,0,1,0,0
P439,0,1,0,0
P442,0,1,0,0
P444,0,1,0,0
P446,0,1,0,0
P448,0,1,0,0
P454,0,1,0,0
P461,0,1,0,0
P467,0,1,0,0
P473,0,1,0,0
P482,0,1,0,0
P483,0,1,0,0
P485,0,1,0,0
P508,1,0,0,0
P514,1,0,0,0
P520,1,0,0,0
P532,1,0,0,0
P553,1,0,0,0
P6339,0,1,0,0
P6377,0,0,0,1
P6379,0,0,0,1
PRS1_1,0,1,0,0
PRS2_10,1,0,0,0
PRS3_13,1,0,0,0
PRS4_18,1,0,0,0
PRS5_23,1,0,0,0
Pc2109,1,0,0,0
Pc2110,0,0.6,0.4,0
Pc2113,0,1,0,0
Pc2114,0,1,0,0
Pc2117,1,0,0,0
Pc2120,1,0,0,0
Pc338,1,0,0,0
Pc345,0,1,0,0
Pc5241,0,0,0,1
R_1,0,1,0,0
S2_1,0,1,0,0
SER1_4,1,0,0,0
SER2_3,1,0,0,0
SER3_6,1,0,0,0
SER4_5,1,0,0,0
SER5_6,1,0,0,0
SJNR2_3,1,0,0,0
SJNR3_3,1,0,0,0
SJNR3_4,1,0,0,0
SJNR4_12,1,0,0,0
SJNR5_4,1,0,0,0
SJNR6_22,1,0,0,0
St5b,1,0,0,0
St6a,1,0,0,0
TANR1_5,1,0,0,0
TANR2_7,1,0,0,0
TANR3_5,0,1,0,0
TANR4_4,1,0,0,0
TANS5_22,1,0,0,0
TGR1_5,1,0,0,0
TGR2_3,1,0,0,0
TGR3_5,1,0,0,0
TGR4_3,1,0,0,0
TGR4_6,1,0,0,0
UPNR1_1,1,0,0,0
UPNR4_4,1,0,0,0
UPNS2_5,1,0,0,0
UPNS3_4,1,0,0,0
UPNS4_1,1,0,0,0
Van3,0,1,0,0
W3_1,0,1,0,0
ZCA1_4,1,0,0,0
ZCA2_2,1,0,0,0
ZCA3_2,1,0,0,0
ZCA4_3,1,0,0,0
ZCA5_3,1,0,0,0
ZITR2_5,1,0,0,0
ZITR3_3,1,0,0,0
ZITR3_4,1,0,0,0
ZITR5_5,1,0,0,0
ZITR5_6,1,0,0,0
