Isolate,region,latitude,longitude,Cluster1,Cluster2,Cluster3,Cluster4
B4,1,34.44711813,-119.7572249,0,1,0,0
B9,2,34.42767067,-119.6775424,0,1,0,0
L14,3,34.38164432,-119.1205235,0,1,0,0
L2-1,4,34.17675204,-119.141112,0,1,0,0
460,5,33.18682569,-116.7347488,0,1,0,0
M293,6,34.42300615,-119.2224894,0,1,0,0
M393,7,33.09785115,-116.8490911,1,0,0,0
M394,8,33.37894832,-117.0829978,0,1,0,0
M395,9,33.16321589,-116.7008059,0,1,0,0
M397,10,32.97705244,-117.1175643,1,0,0,0
M398,11,33.11717274,-116.6904074,1,0,0,0
M399,12,33.18122049,-116.7211988,1,0,0,0
M400,13,32.88223118,-117.1083371,0,1,0,0
M401,14,32.94836886,-117.1065328,1,0,0,0
M402,15,34.2471465,-119.2335399,0,1,0,0
M403,16,33.5293032,-117.318846,0,1,0,0
M404,17,33.67129287,-116.7242305,0,1,0,0
M405,18,33.98078585,-116.8833774,0,1,0,0
ME1-1,19,33.24883117,-116.8649124,0,1,0,0
ME9-1,20,32.98518372,-116.9737697,0,1,0,0
MW4-1,21,32.914663,-117.0897078,0,1,0,0
Nik 4.2,22,32.96303088,-117.0214099,0,1,0,0
OH3-3,23,33.66766673,-116.8288946,0,1,0,0
OH3a,24,33.71830643,-116.853588,0,1,0,0
OH4,25,33.64029741,-116.9388156,0,1,0,0
OH5,26,33.64044717,-116.7514899,0,1,0,0
575,27,34.36479591,-119.0525594,0,1,0,0
163,28,33.77307209,-116.8228216,1,0,0,0
207,29,33.3701921,-117.0836615,0,1,0,0
2115,30,34.45480363,-119.0630007,0,1,0,0
216,31,33.79122992,-117.1100238,0,1,0,0
245,32,34.23148154,-118.9369662,0,1,0,0
322,33,34.23202171,-119.1918024,0,1,0,0
336,34,33.18556016,-117.1665762,1,0,0,0
340,35,32.95596481,-116.9775423,1,0,0,0
344,36,34.44335915,-119.6008304,1,0,0,0
349,37,34.44146253,-119.652901,0,0.6,0.4,0
352,38,33.18033851,-117.2437686,1,0,0,0
356,39,33.5811749,-117.1076614,1,0,0,0
360,40,33.47513414,-116.7274014,0,1,0,0
367,41,34.29274332,-119.091033,0,1,0,0
381,42,33.06173605,-116.7872484,0,1,0,0
398,43,34.43386182,-119.5766369,0,1,0,0
407,44,34.44409103,-119.7628691,0,1,0,0
420,45,34.45466145,-119.8747865,0,1,0,0
425,46,34.37204545,-119.040292,0,1,0,0
426,47,34.36303567,-119.0704384,0,1,0,0
429,48,34.35809373,-119.211532,0,1,0,0
438,49,34.47034416,-119.7939065,0,1,0,0
439,50,34.42264234,-119.6892816,0,1,0,0
442,51,34.439264,-119.306359,0,1,0,0
444,52,34.42248921,-119.2781047,0,1,0,0
446,53,34.38665821,-119.2406436,0,1,0,0
448,54,34.27203898,-119.2085146,0,1,0,0
454,55,34.42686406,-119.1707913,0,1,0,0
461,56,33.29239221,-117.3297337,0,1,0,0
467,57,32.92773153,-117.0996457,0,1,0,0
473,58,32.9243035,-117.0719752,0,1,0,0
482,59,33.28883685,-117.2374836,0,1,0,0
483,60,33.23004431,-117.0979914,0,1,0,0
485,61,32.95210571,-117.0191229,0,1,0,0
508,62,33.40925383,-117.1662857,1,0,0,0
514,63,32.95209267,-117.0260972,1,0,0,0
520,64,33.32550209,-117.255242,1,0,0,0
532,65,33.55476724,-117.1864006,1,0,0,0
553,66,33.64991385,-117.0311621,1,0,0,0
2109,67,33.01769662,-117.1821296,1,0,0,0
2110,68,34.2016603,-119.1383592,0,0.6,0.4,0
2113,69,34.5207671,-119.5458488,0,1,0,0
2114,70,34.22876124,-119.1821238,0,1,0,0
2117,71,33.03124529,-116.8369115,1,0,0,0
2120,72,33.93091209,-117.3321351,1,0,0,0
338,73,33.34646884,-116.8947957,1,0,0,0
345,74,34.45738971,-119.171056,0,1,0,0
Pc 5241,75,33.10833349,-116.915308,0,0,0,1
R-1,76,33.80591492,-117.8597151,0,1,0,0
S2-1,77,33.8028283,-117.8469942,0,1,0,0
St5b,78,33.11530842,-117.1478745,1,0,0,0
St6a,79,33.23731731,-117.2419147,1,0,0,0
Van3,80,34.42773963,-119.0549526,0,1,0,0
W3-1,81,33.7865246,-117.7676609,0,1,0,0
