Isolate,Replicate,EC50,County,State,Growing_Region,Country,Log10_EC50,Experiment
14-009,1,11.54,Ventura,CA,North,USA,1.062205809,1
14-009,1,13.05,Ventura,CA,North,USA,1.115610512,2
14-009,2,10.8,Ventura,CA,North,USA,1.033423755,1
14-009,2,13.74,Ventura,CA,North,USA,1.137986733,2
14-009,3,13.75,Ventura,CA,North,USA,1.138302698,1
14-009,3,15.85,Ventura,CA,North,USA,1.200029267,2
163,1,58.45,Riverside,CA,South,USA,1.766784515,1
163,1,65.23,Riverside,CA,South,USA,1.814447379,2
163,2,56.82,Riverside,CA,South,USA,1.754501229,1
163,2,64.44,Riverside,CA,South,USA,1.809155532,2
163,3,65.84,Riverside,CA,South,USA,1.818489822,1
163,3,60.81,Riverside,CA,South,USA,1.783975003,2
207,1,58.36,San Diego,CA,South,USA,1.766115283,1
207,1,44.77,San Diego,CA,South,USA,1.650987094,2
207,2,53.7,San Diego,CA,South,USA,1.729974286,1
207,2,43.38,San Diego,CA,South,USA,1.637289548,2
207,3,43,San Diego,CA,South,USA,1.633468456,1
207,3,41.72,San Diego,CA,South,USA,1.6203443,2
2109,1,50.74,San Diego,CA,South,USA,1.705350463,1
2109,1,48.37,San Diego,CA,South,USA,1.684576087,2
2109,2,54.63,San Diego,CA,South,USA,1.737431201,1
2109,2,51.66,San Diego,CA,South,USA,1.713154402,2
2109,3,40.95,San Diego,CA,South,USA,1.612253906,1
2109,3,62.52,San Diego,CA,South,USA,1.796018969,2
2110,1,13.1,Ventura,CA,North,USA,1.117271296,1
2110,1,11.15,Ventura,CA,North,USA,1.047274867,2
2110,2,13.6,Ventura,CA,North,USA,1.133538908,1
2110,2,11.04,Ventura,CA,North,USA,1.042969073,2
2110,3,12.79,Ventura,CA,North,USA,1.106870544,1
2110,3,16.13,Ventura,CA,North,USA,1.207634367,2
2113,1,14.85,Santa Barbara,CA,North,USA,1.171726454,1
2113,2,9.45,Santa Barbara,CA,North,USA,0.975431809,1
2113,3,12.87,Santa Barbara,CA,North,USA,1.109578547,1
2113,1,10.88,Santa Barbara,CA,North,USA,1.036628895,2
2113,2,11.72,Santa Barbara,CA,North,USA,1.068927612,2
2113,3,13.56,Santa Barbara,CA,North,USA,1.13225969,2
2114,1,11.57,Ventura,CA,North,USA,1.063333359,1
2114,1,9.64,Ventura,CA,North,USA,0.984077034,2
2114,2,13.88,Ventura,CA,North,USA,1.142389466,1
2114,2,9.86,Ventura,CA,North,USA,0.993876915,2
2114,3,12.18,Ventura,CA,North,USA,1.085647288,1
2114,3,9.95,Ventura,CA,North,USA,0.997823081,2
2115,1,19.92,Ventura,CA,North,USA,1.299289334,1
2115,1,15.73,Ventura,CA,North,USA,1.196728723,2
2115,2,13.61,Ventura,CA,North,USA,1.133858125,1
2115,2,16.45,Ventura,CA,North,USA,1.216165902,2
2115,3,15.17,Ventura,CA,North,USA,1.180985581,1
2115,3,17.46,Ventura,CA,North,USA,1.242044239,2
2117,1,52.5,San Diego,CA,South,USA,1.720159303,1
2117,1,53.52,San Diego,CA,South,USA,1.728516105,2
2117,2,43.24,San Diego,CA,South,USA,1.635885685,1
2117,2,51.53,San Diego,CA,South,USA,1.712060142,2
2117,3,50.03,San Diego,CA,South,USA,1.699230503,1
2117,3,56.21,San Diego,CA,South,USA,1.749813585,2
2120,1,56.23,Riverside,CA,South,USA,1.749968084,1
2120,1,66.88,Riverside,CA,South,USA,1.825296264,2
2120,2,58.77,Riverside,CA,South,USA,1.769155691,1
2120,2,62.67,Riverside,CA,South,USA,1.797059695,2
2120,3,53.52,Riverside,CA,South,USA,1.728516105,1
2120,3,67.43,Riverside,CA,South,USA,1.82885316,2
216,1,10.53,Riverside,CA,South,USA,1.022428371,1
216,1,12.82,Riverside,CA,South,USA,1.107888025,2
216,2,8.72,Riverside,CA,South,USA,0.940516485,1
216,2,12.71,Riverside,CA,South,USA,1.104145551,2
216,3,9.64,Riverside,CA,South,USA,0.984077034,1
216,3,11.96,Riverside,CA,South,USA,1.07773118,2
245,1,16.89,Ventura,CA,North,USA,1.22762965,1
245,1,17.04,Ventura,CA,North,USA,1.23146959,2
245,2,16.65,Ventura,CA,North,USA,1.221414238,1
245,2,18.24,Ventura,CA,North,USA,1.261024834,2
245,3,19.91,Ventura,CA,North,USA,1.29907126,1
245,3,18.53,Ventura,CA,North,USA,1.267875419,2
322,1,12.51,Ventura,CA,North,USA,1.09725731,1
322,1,8.5,Ventura,CA,North,USA,0.929418926,2
322,2,12.32,Ventura,CA,North,USA,1.090610708,1
322,2,6.55,Ventura,CA,North,USA,0.8162413,2
322,3,11.64,Ventura,CA,North,USA,1.06595298,1
322,3,9.74,Ventura,CA,North,USA,0.988558957,2
340,1,67.92,San Diego,CA,South,USA,1.831997677,1
340,1,62.16,San Diego,CA,South,USA,1.793511006,2
340,2,62.03,San Diego,CA,South,USA,1.792601781,1
340,2,61.32,San Diego,CA,South,USA,1.787602146,2
340,3,62.12,San Diego,CA,South,USA,1.793231447,1
340,3,69.94,San Diego,CA,South,USA,1.844725628,2
344,1,50.47,Santa Barbara,CA,North,USA,1.703033305,1
