Isolate_w_Rep,WPI2,WPI3.5,WPI5
H20-1,5,10,7.5
H20-2,0,5,15
H20-3,0,5,10
P344-1,10,40,50
P344-2,10,30,55
P344-3,5,25,45
P444-1,5,30,42.5
P444-2,5,20,35
P444-3,5,15,35
P467-1,20,40,60
P467-2,10,30,40
P467-3,5,20,60
P482-1,20,40,32.5
P482-2,10,35,25
P482-3,10,25,32.5
Pc2109-1,20,40,60
Pc2109-2,15,25,60
Pc2109-3,10,25,60
Pc2110-1,10,30,50
Pc2110-2,10,20,40
Pc2110-3,10,15,55
Pc2113-1,20,25,30
Pc2113-2,20,15,32.5
Pc2113-3,10,10,40
Pc2114-1,10,25,75
Pc2114-2,10,20,50
Pc2114-3,5,20,40
Pc2120-1,20,35,50
Pc2120-2,10,35,45
Pc2120-3,10,30,45
Pc336-1,15,25,45
Pc336-2,15,25,47.5
Pc336-3,10,25,40
Pc5241-1,20,30,30
Pc5241-2,15,20,35
Pc5241-3,10,15,35
SER5-6-1,10,30,27.5
SER5-6-2,10,25,27.5
SER5-6-3,5,20,35
TANR3-5-1,15,30,30
TANR3-5-2,10,20,30
TANR3-5-3,5,20,42.5
TANS5-22-1,5,25,42.5
TANS5-22-2,5,25,45
TANS5-22-3,5,10,30
