Isolate,Root_health
Pc2110,50
Pc2110,60
Pc2110,60
Pc2110,40
Pc2110,50
Pc2110,50
P467,65
P467,60
P467,10
P467,15
P467,70
P467,60
P444,70
P444,60
P444,60
P444,60
P444,55
P444,70
P482,70
P482,80
P482,65
P482,75
P482,70
P482,60
Pc2113,80
Pc2113,70
Pc2113,60
Pc2113,60
Pc2113,65
Pc2113,60
Pc2114,10
Pc2114,50
Pc2114,40
Pc2114,65
Pc2114,50
Pc2114,55
TANR3-5,70
TANR3-5,75
TANR3-5,40
TANR3-5,60
TANR3-5,70
TANR3-5,80
Pc2109,30
Pc2109,50
Pc2109,40
Pc2109,40
Pc2109,50
Pc2109,30
TANS5-22,60
TANS5-22,75
TANS5-22,55
TANS5-22,55
TANS5-22,55
TANS5-22,65
SER5-6,80
SER5-6,65
SER5-6,80
SER5-6,80
SER5-6,65
SER5-6,50
P344,40
P344,70
P344,70
P344,30
P344,40
P344,50
Pc2120,70
Pc2120,50
Pc2120,40
Pc2120,60
Pc2120,50
Pc2120,50
Pc5241,60
Pc5241,70
Pc5241,70
Pc5241,70
Pc5241,60
Pc5241,70
Pc336,60
Pc336,60
Pc336,55
Pc336,50
Pc336,60
Pc336,50
H20,90
H20,80
H20,95
H20,90
H20,90
H20,90
